date,SP01,SP02,SP03,SP04,SP05,WS01,WS02,WS03
2020.09.15 01:43,10.94,0.96,28.78,1.16,1.17,5.00,6.26,2.74
2020.09.15 01:44,2.55,1.76,2.31,3.72,2.87,3.66,2.94,2.89
2020.09.15 01:45,2.15,2.50,1.37,0.98,0.98,1.37,1.18,2.55
2020.09.15 01:46,3.91,16.41,20.14,32.03,19.15,3.32,2.88,4.40
2020.09.15 01:47,20.90,1.37,1.57,1.35,1.92,0.98,0.79,19.22
2020.09.15 01:48,15.84,1.73,1.95,1.76,5.58,1.96,4.69,4.80
2020.09.15 01:49,2.35,1.35,2.93,2.89,9.77,0.20,0.98,1.34
2020.09.15 01:50,1.54,2.31,1.37,2.69,3.71,9.77,3.91,5.00
2020.09.15 01:51,4.24,5.38,11.15,12.71,13.67,1.16,0.77,1.50
2020.09.15 01:52,13.09,2.54,0.38,0.59,0.59,14.42,4.10,1.18
2020.09.15 01:53,4.50,0.39,1.96,1.18,3.82,2.74,1.37,1.93
2020.09.15 01:54,2.93,3.46,0.79,11.18,4.42,1.37,2.94,3.91
2020.09.15 01:55,12.50,10.39,2.69,0.98,0.78,1.96,1.37,0.40
2020.09.15 01:56,9.77,3.85,11.92,12.89,13.66,1.76,1.57,2.93
2020.09.15 01:57,7.31,1.37,2.15,4.23,1.15,2.89,4.31,0.79
2020.09.15 01:58,11.72,3.13,0.40,0.96,1.37,0.98,1.37,0.17
2020.09.15 01:59,1.96,1.54,3.13,1.76,8.26,1.18,0.59,1.56
2020.09.15 02:00,4.30,7.03,1.92,0.96,1.57,2.10,1.37,1.70
2020.09.15 02:00,26.79,7.03,1.92,0.96,1.57,2.10,1.37,1.70
2020.09.15 02:00,26.79,7.03,1.92,0.96,1.57,2.10,1.37,1.70
2020.09.15 02:01,3.92,3.84,11.34,30.47,17.39,2.89,1.15,1.37
2020.09.15 02:01,7.04,3.84,11.34,30.47,17.39,2.89,1.15,1.37
2020.09.15 02:01,7.04,3.84,11.34,30.47,17.39,2.89,1.15,1.37
2020.09.15 02:02,3.33,3.32,0.59,1.57,1.16,7.69,0.96,0.58
2020.09.15 02:02,3.33,3.32,0.59,1.57,1.16,7.69,0.96,0.58
2020.09.15 02:02,2.74,3.32,0.59,1.57,1.16,7.69,0.96,0.58
2020.09.15 02:03,6.06,0.39,1.17,2.69,14.26,3.65,4.30,2.15
2020.09.15 02:03,11.92,0.39,1.17,2.69,14.26,3.65,4.30,2.15
2020.09.15 02:03,11.92,0.39,1.17,2.69,14.26,3.65,4.30,2.15
2020.09.15 02:04,9.57,0.77,0.98,13.84,0.95,2.35,1.18,0.79
2020.09.15 02:05,3.71,1.96,3.52,2.94,2.69,3.46,1.37,2.12
2020.09.15 02:06,0.39,1.92,41.48,27.95,13.87,3.32,3.13,5.29
2020.09.15 02:06,0.39,3.28,41.48,27.95,13.87,3.32,3.13,5.29
2020.09.15 02:07,15.39,1.54,2.93,2.93,5.28,8.29,3.65,3.13
2020.09.15 02:07,15.39,2.88,2.93,2.93,5.28,8.29,3.65,3.13
2020.09.15 02:08,5.28,2.93,1.37,3.71,0.59,1.15,0.39,0.98
2020.09.15 02:09,16.54,2.50,2.35,1.96,13.09,5.28,1.57,2.15
2020.09.15 02:10,1.31,2.50,1.51,1.77,1.19,1.57,1.56,3.83
2020.09.15 02:11,10.96,4.42,22.87,13.85,13.46,1.96,1.35,3.65
2020.09.15 02:12,3.52,2.31,0.58,2.68,0.59,0.77,0.98,0.77
2020.09.15 02:13,4.30,0.77,0.59,0.98,1.73,2.35,3.62,1.68
2020.09.15 02:14,0.98,33.85,2.15,3.46,2.31,1.53,0.59,1.35
2020.09.15 02:15,3.13,0.58,3.13,2.35,8.60,1.56,3.45,1.19
2020.09.15 02:16,3.33,5.00,25.00,13.77,15.77,2.54,4.50,2.50
2020.09.15 02:17,5.28,1.96,5.08,3.46,2.74,1.76,3.27,21.61
2020.09.15 02:18,17.39,1.37,0.39,7.70,3.71,4.10,16.61,1.77
2020.09.15 02:19,16.22,1.37,0.78,4.89,8.01,6.92,0.34,0.38
2020.09.15 02:20,0.98,15.82,0.59,1.76,1.96,2.31,2.93,1.76
2020.09.15 02:21,18.36,4.30,16.35,14.06,18.95,3.13,3.33,7.82
2020.09.15 02:22,3.13,4.42,1.18,1.76,3.52,4.30,1.73,1.92
